H-ID,type_id,source_language 965,language 1090,author_or_creator 15 H-ID,author 1091,title 1092,date 9,century 1093,date_freetext 1094,geste 1097 H-ID,geste_freetext 1098,scripta 1099,scripta_freetext 1100,status_trad 1101,status_trad_freetext 1102,lost_older_version_choice 1103,lost_older_version_identification 1104 H-ID,ancient_translations_freetext 1105,ancient_translations_total 1106,rewritings_freetext 1107,rewritings_total 1108,note 1109,jonas_id 1110,arlima_id 1111,deaf_reference 1112,moisan_reference 1113,moisan_cycle 1114,bossuat_reference 1115,stemma 1117 H-ID,suard_reference 1118,genre 1129,subgenre 1130,form 1163,verse_type 1165,length 1166,rhyme_type 1167,arlima_link 1181
683,101,,,,,"""Récit en vers français de la 1re croisade fondé sur Baudri de Bourgueil""",,,,201,Récit en vers français de la 1re croisade?,,,surviving,,,,,,,,"Signalé par P. Meyer, R 5 1876 1-63 et 6 1877 489 et suiv.. Suard l'intègre p. 169.",,,,,,,,,,,,,,,
602,101,,,,Adenet le Roi,Berte au grand pied,1272-01-01 00:00:00|1300-01-01 00:00:00,,"XIIIe3-4/4, apr. 1272-1274",174,Berte au grand pied,,,surviving,,,,version néerlandaise,,Histoire de la reine Berthe et du roy Pepin,,"Citations de Claude Fauchet de 6 v., cf. Moisan sIV Fau. Version néerl.: B ESAMUSCA , Bart : « Beerte metten breden voeten », dans Olifant, 23 (1), 2004, pp. 13-25. || Pas de stemma trouvé (A. Henry n'en établit pas)",,,,BGP,Charlemagne,,,,,,,,,,https://arlima.net/no/248
689,101,,,,Adenet le Roi,Bueve de Commarchis,1271-01-01 00:00:00|1300-01-01 00:00:00,,"XIII, apr. 1271",104,Siege de Barbastre,,,surviving,,,,,,,,Remaniement du Siège de Barbastre? cf. Moisan.,,,,BC,Guillaume,,,,,,,,,,https://arlima.net/no/248
729,101,,,,Adenet le Roi,Enfances Ogier,1269-01-01 00:00:00|1285-01-01 00:00:00,,"XIII, 1269-1285",129,Enfances Ogier,,Brabant?,surviving,,maybe,,,,,,Possible manuscrit d'auteur.,,,,,,,,,,,,,,,https://arlima.net/no/248
707,101,,,,,Agolant,1180-01-01 00:00:00|1220-01-01 00:00:00,,XIIex – XIIIinc,84,Agolant,,,fragm,,maybe,,,,,,"Voir P. Meyer, R, 35 1906 22-31. Fragm. fin XIIIe d'une chanson relative à la guerre d'Espagne. Ce feuillet de Cambridge en serait le ""rajeunissement en forme de remaniement'",,,,Ag,Charlemagne,I p. 26; sII p. 22; sIII p. 102,,,,,,,,,
544,101,,,,,Agolant perdu,1100-01-01 00:00:00|1200-01-01 00:00:00,,XII?,84,Agolant,,,lost_low-cert,,,,,,,,"Hypothétique 'très ancien poème' qui serait le modèle du fragm. de Cambridge, d'après Paul Meyer.",,,,,,,,,,,,,,,
584,101,,,,,Aie d'Avignon,1180-01-01 00:00:00|1200-01-01 00:00:00,,"XIIfin, c. 1200",120,Aie d'Avignon,,,surviving,,,,,,,,"Citations de Claude Fauchet, 76 vers dont vers absents du ms. unique. cf. Moisan sIV Fau.",,,,AA,Nanteuil,,,,,,,,,,https://arlima.net/no/337
583,101,,fro_IT,,,Aie d'Avignon,1300-01-01 00:00:00|1320-01-01 00:00:00,,XIVdeb,120,Aie d'Avignon,,,surviving,,,,,,,,"Fl. Calluturiaf, EFR Mélanges 73 1961 391-435.",,,,AA2 étr,Nanteuil,I p. 54; sIII p. 127,,,,,,,,,https://arlima.net/no/337
585,101,,pro,,,Aigar et Maurin,1150-01-01 00:00:00|1200-01-01 00:00:00,,"XII, apr. 1150",61,Aigar et Maurin,,,surviving,,,,,,,,Deux fragments (1437) vers à Gand.,,,,AiM,indép.,,,,,,,,,,https://arlima.net/no/3310
776,101,,,,,Aïmer le chétif,1101-01-01 00:00:00|1220-01-01 00:00:00,,XII-XIIIdeb,98,Aïmer le chétif,,,lost,,,,,,,,"Conquérant de Venise. (Bossuat parle d'un fils d'Aimeri de Narbonne, et renvoie à R. Weeks, Aïmer le chétif, PMLA 17 (1902), 411-434 + R. Van Waard, Aïmer le chétif, Néophil. 25 (1940), 82-88. Voir aussi Moisan, sIII",,,,,,,,,,,,,,,https://arlima.net/no/3469
